OrganisationLabel,OrganisationalUnit,TransactionNumber,BeneficiaryName,ExpenseType,PaymentDate,Amount
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1625848,ASH HOUSE DAY NURSERY,,26/02/2016,7602.37
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1625848,ASH HOUSE DAY NURSERY,,26/02/2016,4139.85
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1622589,ASKEWS & HOLTS LIBRARY SERVICES LTD,,15/02/2016,562.48
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1622589,ASKEWS & HOLTS LIBRARY SERVICES LTD,,15/02/2016,632.02
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1623728,ASKEWS & HOLTS LIBRARY SERVICES LTD,,22/02/2016,570.18
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1626203,ASKEWS & HOLTS LIBRARY SERVICES LTD,,29/02/2016,551.48
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1626203,ASKEWS & HOLTS LIBRARY SERVICES LTD,,29/02/2016,550.16
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624749,ASPIRATIONS CARE,,24/02/2016,2528.87
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624749,ASPIRATIONS CARE,,24/02/2016,5688.76
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624749,ASPIRATIONS CARE,,24/02/2016,3290.23
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624749,ASPIRATIONS CARE,,24/02/2016,5675.46
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624394,ASPIRATIONS CARE,,23/02/2016,11895.6
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1619943,ASSOCIATION FOR PUBLIC SERVICE EXCELLENCE (APSE),,03/02/2016,608.4
Wirral Metropolitan Borough Council,CHILDREN & YOUNG PEOPLE ,1624750,ATHERTON & PARTNERS LTD,,24/02/2016,4860.94
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624395,AUDLEM COUNTRY NURSING HOME,,23/02/2016,1868.4
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1620859,AUNTIE EM'S CHILDMINDING SERVICE,,09/02/2016,1600.5
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1620859,AUNTIE EM'S CHILDMINDING SERVICE,,09/02/2016,1613.7
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1625851,AUNTIE JAYNE'S HOUSE LIMITED,,26/02/2016,1200.37
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1625851,AUNTIE JAYNE'S HOUSE LIMITED,,26/02/2016,1244.1
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1625851,AUNTIE JAYNE'S HOUSE LIMITED,,26/02/2016,2177.17
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1620860,AUNTY K'S DAYCARE,,09/02/2016,555.94
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1619732,AUTISM INITIATIVES,,02/02/2016,57502.22
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1619732,AUTISM INITIATIVES,,02/02/2016,2666.13
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1619732,AUTISM INITIATIVES,,02/02/2016,-12274.79
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624396,AUTISM INITIATIVES,,23/02/2016,4792.28
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624396,AUTISM INITIATIVES,,23/02/2016,9378.28
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624396,AUTISM INITIATIVES,,23/02/2016,875.25
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624398,AUTISM TOGETHER,,23/02/2016,5709.04
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624398,AUTISM TOGETHER,,23/02/2016,4867.68
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624398,AUTISM TOGETHER,,23/02/2016,9973.52
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624398,AUTISM TOGETHER,,23/02/2016,8154.44
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624398,AUTISM TOGETHER,,23/02/2016,4471.4
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624398,AUTISM TOGETHER,,23/02/2016,1569.56
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624398,AUTISM TOGETHER,,23/02/2016,16752.72
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624398,AUTISM TOGETHER,,23/02/2016,6623.6
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624398,AUTISM TOGETHER,,23/02/2016,8446.6
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624398,AUTISM TOGETHER,,23/02/2016,9031.44
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624398,AUTISM TOGETHER,,23/02/2016,5145.2
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624398,AUTISM TOGETHER,,23/02/2016,8150.12
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624398,AUTISM TOGETHER,,23/02/2016,5145.2
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624398,AUTISM TOGETHER,,23/02/2016,7388.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624398,AUTISM TOGETHER,,23/02/2016,5835.52
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624398,AUTISM TOGETHER,,23/02/2016,4867.68
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624398,AUTISM TOGETHER,,23/02/2016,5065.84
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624398,AUTISM TOGETHER,,23/02/2016,6104.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624398,AUTISM TOGETHER,,23/02/2016,4738.44
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624398,AUTISM TOGETHER,,23/02/2016,4867.68
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624398,AUTISM TOGETHER,,23/02/2016,4738.44
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624397,AUTISM TOGETHER,,23/02/2016,9609.08
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624397,AUTISM TOGETHER,,23/02/2016,7442.76
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624397,AUTISM TOGETHER,,23/02/2016,5918.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624398,AUTISM TOGETHER,,23/02/2016,1604.96
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624398,AUTISM TOGETHER,,23/02/2016,1604.96
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624398,AUTISM TOGETHER,,23/02/2016,1604.96
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624398,AUTISM TOGETHER,,23/02/2016,1604.96
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624398,AUTISM TOGETHER,,23/02/2016,1604.96
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1622312,AUTISM TOGETHER,,12/02/2016,215706.69
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1621124,AUTISM TOGETHER,,10/02/2016,6997.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624399,AVALON,,23/02/2016,9461.68
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1625852,AVALON SCH EDUCATIONAL TRUST,,26/02/2016,4789.78
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1625852,AVALON SCH EDUCATIONAL TRUST,,26/02/2016,6054.62
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1625852,AVALON SCH EDUCATIONAL TRUST,,26/02/2016,6842.55
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1622594,AVCO SYSTEMS LIMITED,,15/02/2016,7620.0
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1620861,AXWAY UK LIMITED,,09/02/2016,20127.29
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624400,AYNSLEY NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624400,AYNSLEY NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624400,AYNSLEY NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624400,AYNSLEY NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624400,AYNSLEY NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624400,AYNSLEY NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624400,AYNSLEY NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624400,AYNSLEY NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624400,AYNSLEY NURSING HOME,,23/02/2016,1648.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624400,AYNSLEY NURSING HOME,,23/02/2016,1648.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624400,AYNSLEY NURSING HOME,,23/02/2016,1648.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624400,AYNSLEY NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624400,AYNSLEY NURSING HOME,,23/02/2016,841.29
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624400,AYNSLEY NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624400,AYNSLEY NURSING HOME,,23/02/2016,1294.29
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624400,AYNSLEY NURSING HOME,,23/02/2016,711.86
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624400,AYNSLEY NURSING HOME,,23/02/2016,-887.86
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624400,AYNSLEY NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624400,AYNSLEY NURSING HOME,,23/02/2016,-2260.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624400,AYNSLEY NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624400,AYNSLEY NURSING HOME,,23/02/2016,-2260.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624400,AYNSLEY NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624400,AYNSLEY NURSING HOME,,23/02/2016,-2260.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624400,AYNSLEY NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1622314,B I R C C LIMITED,,12/02/2016,43255.9
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1626207,B I R C C LIMITED,,29/02/2016,43544.48
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1622597,B.I.T.S (BRITISH & INTERNATIONAL TYRE SUPPLIES),,15/02/2016,515.16
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1619947,BADENOCH & CLARK,,03/02/2016,2400.0
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1619947,BADENOCH & CLARK,,03/02/2016,2400.0
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1619947,BADENOCH & CLARK,,03/02/2016,2328.0
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1619947,BADENOCH & CLARK,,03/02/2016,2400.0
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1619947,BADENOCH & CLARK,,03/02/2016,2400.0
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1619947,BADENOCH & CLARK,,03/02/2016,2400.0
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1619947,BADENOCH & CLARK,,03/02/2016,2400.0
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1619947,BADENOCH & CLARK,,03/02/2016,2037.0
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1623383,BADENOCH & CLARK,,18/02/2016,1164.0
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1623383,BADENOCH & CLARK,,18/02/2016,2328.0
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1623383,BADENOCH & CLARK,,18/02/2016,2400.0
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1623383,BADENOCH & CLARK,,18/02/2016,2328.0
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1623383,BADENOCH & CLARK,,18/02/2016,1440.0
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1621130,BAGNALL & MORRIS WASTE SERVICES LTD,,10/02/2016,1711.0
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1620376,BAGNALL & MORRIS WASTE SERVICES LTD,,05/02/2016,1923.71
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1625057,BALFOUR BEATTY ENGINEERING SERVICES LIMITED,,25/02/2016,1500.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624753,BALTIMORE CONSULTING LIMITED,,24/02/2016,12480.0
Wirral Metropolitan Borough Council,REGENERATION & ENVIRONMENT,1624754,BAM NUTTALL LIMITED,,24/02/2016,6049.4
Wirral Metropolitan Borough Council,BALANCE SHEET,1619949,BAM NUTTALL LIMITED,,03/02/2016,8289.19
Wirral Metropolitan Borough Council,BALANCE SHEET,1622599,BAM NUTTALL LIMITED,,15/02/2016,500188.37
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1620152,BANNER,,04/02/2016,681.98
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624405,BARCHESTER HEALTHCARE LIMITED,,23/02/2016,1796.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624405,BARCHESTER HEALTHCARE LIMITED,,23/02/2016,1648.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624405,BARCHESTER HEALTHCARE LIMITED,,23/02/2016,1648.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624405,BARCHESTER HEALTHCARE LIMITED,,23/02/2016,1648.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624404,BARCHESTER HEALTHCARE LIMITED,,23/02/2016,1847.72
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1623740,BARNARDO'S,,22/02/2016,4594.51
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1625856,BARNARDOS SERVICES LTD,,26/02/2016,16191.6
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1625856,BARNARDOS SERVICES LTD,,26/02/2016,6522.54
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1625857,BARNSTON BUDDIES,,26/02/2016,13740.5
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1625857,BARNSTON BUDDIES,,26/02/2016,1129.11
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1622886,BAYDALE CONTROL SYSTEMS LTD,,16/02/2016,10327.2
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1620866,BEBINGTON CHILDMINDERS CARLY BAIGENT AND TERRY JONES,,09/02/2016,800.25
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1625860,BEBINGTON PRESCHOOL PLAYGROUP,,26/02/2016,1280.4
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1625860,BEBINGTON PRESCHOOL PLAYGROUP,,26/02/2016,11314.87
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1625860,BEBINGTON PRESCHOOL PLAYGROUP,,26/02/2016,804.37
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624407,BEECHSIDE RESIDENTIAL HOME,,23/02/2016,1496.84
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1623743,BEECHWOOD PLAY & COMMUNIY CENTRE,,22/02/2016,14375.0
Wirral Metropolitan Borough Council,REGENERATION & ENVIRONMENT,1620867,BELL CONTRACTS LIMITED,,09/02/2016,4516.0
Wirral Metropolitan Borough Council,REGENERATION & ENVIRONMENT,1622602,BELL CONTRACTS LIMITED,,15/02/2016,3859.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624409,BELVIDERE NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624409,BELVIDERE NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624409,BELVIDERE NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624409,BELVIDERE NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624409,BELVIDERE NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624409,BELVIDERE NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624409,BELVIDERE NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624409,BELVIDERE NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624409,BELVIDERE NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624409,BELVIDERE NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624409,BELVIDERE NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624409,BELVIDERE NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624409,BELVIDERE NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624409,BELVIDERE NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624409,BELVIDERE NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624409,BELVIDERE NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624409,BELVIDERE NURSING HOME,,23/02/2016,1164.86
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624409,BELVIDERE NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624409,BELVIDERE NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624409,BELVIDERE NURSING HOME,,23/02/2016,906.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624409,BELVIDERE NURSING HOME,,23/02/2016,582.43
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624409,BELVIDERE NURSING HOME,,23/02/2016,647.14
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624409,BELVIDERE NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624409,BELVIDERE NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624409,BELVIDERE NURSING HOME,,23/02/2016,3171.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624409,BELVIDERE NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624409,BELVIDERE NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624409,BELVIDERE NURSING HOME,,23/02/2016,906.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624409,BELVIDERE NURSING HOME,,23/02/2016,1359.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624409,BELVIDERE NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624409,BELVIDERE NURSING HOME,,23/02/2016,647.14
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624409,BELVIDERE NURSING HOME,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1625861,BENTY HEATH KINDERGARTEN,,26/02/2016,1568.83
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1625861,BENTY HEATH KINDERGARTEN,,26/02/2016,1401.89
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1623538,BERENDSEN UK LIMITED,,19/02/2016,798.74
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1619521,BERENDSEN UK LIMITED,,01/02/2016,641.4
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1625863,BETHANY DAY NURSERY LTD,,26/02/2016,4668.12
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1625863,BETHANY DAY NURSERY LTD,,26/02/2016,2285.25
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1625863,BETHANY DAY NURSERY LTD,,26/02/2016,4029.3
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1621439,BETHANY RYAL,,11/02/2016,598.5
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1625864,BIDSTON AVENUE EARLY YEARS PRE SCHOOL,,26/02/2016,9603.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1625864,BIDSTON AVENUE EARLY YEARS PRE SCHOOL,,26/02/2016,14386.35
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1625864,BIDSTON AVENUE EARLY YEARS PRE SCHOOL,,26/02/2016,7193.17
Wirral Metropolitan Borough Council,REGENERATION & ENVIRONMENT,1620654,BIFFA WASTE MANAGEMENT LIMITED,,08/02/2016,1445.16
Wirral Metropolitan Borough Council,REGENERATION & ENVIRONMENT,1620654,BIFFA WASTE MANAGEMENT LIMITED,,08/02/2016,1459.2
Wirral Metropolitan Borough Council,REGENERATION & ENVIRONMENT,1620654,BIFFA WASTE MANAGEMENT LIMITED,,08/02/2016,18848.63
Wirral Metropolitan Borough Council,REGENERATION & ENVIRONMENT,1620654,BIFFA WASTE MANAGEMENT LIMITED,,08/02/2016,9087.36
Wirral Metropolitan Borough Council,REGENERATION & ENVIRONMENT,1620654,BIFFA WASTE MANAGEMENT LIMITED,,08/02/2016,1067300.71
Wirral Metropolitan Borough Council,REGENERATION & ENVIRONMENT,1620654,BIFFA WASTE MANAGEMENT LIMITED,,08/02/2016,5033.28
Wirral Metropolitan Borough Council,REGENERATION & ENVIRONMENT,1623153,BIFFA WASTE MANAGEMENT LIMITED,,17/02/2016,11651.04
Wirral Metropolitan Borough Council,REGENERATION & ENVIRONMENT,1620654,BIFFA WASTE MANAGEMENT LIMITED,,08/02/2016,6987.6
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1625865,BIRKENHEAD HIGH SCHOOL ACADEMY,,26/02/2016,5161.2
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1625865,BIRKENHEAD HIGH SCHOOL ACADEMY,,26/02/2016,1821.6
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1623751,BIRKENHEAD HIGH SCHOOL ACADEMY,,22/02/2016,1362.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1625866,BIRKENHEAD PREPARATORY SCHOOL,,26/02/2016,4908.75
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1625866,BIRKENHEAD PREPARATORY SCHOOL,,26/02/2016,13282.5
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624757,BIRKENHEAD SIXTH FORM COLLEGE,,24/02/2016,44650.0
Wirral Metropolitan Borough Council,REGENERATION & ENVIRONMENT,1623154,BIRKENHEAD YMCA,,17/02/2016,23882.91
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1623752,BIRKENHEAD YMCA,,22/02/2016,2604.33
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1619523,BIRTENSHAW,,01/02/2016,21034.67
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624411,BLACKPOOL FYLDE & WYRE SOCIETY FOR THE DEAF,,23/02/2016,1858.92
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624411,BLACKPOOL FYLDE & WYRE SOCIETY FOR THE DEAF,,23/02/2016,-505.2
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1620870,BLUE STEP SOLUTIONS,,09/02/2016,6600.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1625868,BLUEBELLS DAY NURSERY,,26/02/2016,3276.07
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1625868,BLUEBELLS DAY NURSERY,,26/02/2016,893.47
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1626213,BLUEBELLS DAY NURSERY LTD,,29/02/2016,14404.5
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1626213,BLUEBELLS DAY NURSERY LTD,,29/02/2016,9454.5
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1626213,BLUEBELLS DAY NURSERY LTD,,29/02/2016,3750.45
Wirral Metropolitan Borough Council,TRANSFORMATION & RESOURCES,1623389,BLUEFORT SECURITY LIMITED,,18/02/2016,2547.0
Wirral Metropolitan Borough Council,REGENERATION & ENVIRONMENT,1620656,BNP PARIBAS LEASING SOLUTIONS LIMITED,,08/02/2016,857.69
Wirral Metropolitan Borough Council,REGENERATION & ENVIRONMENT,1625077,BOC LTD,,25/02/2016,1524.18
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624414,BONDCARE WILLINGTON LIMITED,,23/02/2016,1876.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624414,BONDCARE WILLINGTON LIMITED,,23/02/2016,1876.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624414,BONDCARE WILLINGTON LIMITED,,23/02/2016,1876.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624414,BONDCARE WILLINGTON LIMITED,,23/02/2016,1876.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624414,BONDCARE WILLINGTON LIMITED,,23/02/2016,1876.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624414,BONDCARE WILLINGTON LIMITED,,23/02/2016,1876.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624414,BONDCARE WILLINGTON LIMITED,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624414,BONDCARE WILLINGTON LIMITED,,23/02/2016,1876.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624414,BONDCARE WILLINGTON LIMITED,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624414,BONDCARE WILLINGTON LIMITED,,23/02/2016,1812.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624414,BONDCARE WILLINGTON LIMITED,,23/02/2016,1876.0
Wirral Metropolitan Borough Council,FAMILIES & WELL BEING ,1624414,BONDCARE WILLINGTON LIMITED,,23/02/2016,1876.0
